Canonical SMILES,Toxicity Value,ld50_mgkg,molecular_weight,y,source_type,source_set,has_toxric,has_pubchem,n_raw_records,ld50_min_mgkg_raw,ld50_max_mgkg_raw,ld50_mean_mgkg_raw,ld50_median_mgkg_raw,raw_row_ids,n_fragments_original_max,heavy_atoms,element_set,remove_reason
C=CCC(=C)/C=C/[C@@](C)(O)[C@H]1O[C@@H]2C[C@@H]3O[C@@H]4C[C@@H]5O[C@@H]6C[C@@H]7O[C@@H]8C[C@@H]9O[C@@H]%10C[C@@H]%11O[C@](C)(CCOS(=O)(=O)O)[C@@H](OS(=O)(=O)O)C[C@H]%11O[C@H]%10C[C@H]9O[C@H]8CC[C@@]7(C)O[C@@]6(C)CC[C@H](C)[C@H]5O[C@H]4[C@@H](O)[C@@]3(C)O[C@H]2CC1=C,0.286,0.286,1143.3740000000003,6.601822279128332,PubChem_only,PubChem,False,True,1,0.286,0.286,0.286,0.286,40259,1,78,"C,O,S",pubchem_only_ld50_below_0.5_mgkg
CC(=O)C1=CCCC2CC[C@@H]1N2,0.386,0.386,165.236,5.631517368446191,PubChem_only,PubChem,False,True,1,0.386,0.386,0.386,0.386,39257,2,12,"C,N,O",pubchem_only_ld50_below_0.5_mgkg
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,0.142,0.142,557.8400000000003,6.594221307813806,PubChem_only,PubChem,False,True,1,0.142,0.142,0.142,0.142,38263,2,40,"C,N,O",pubchem_only_ld50_below_0.5_mgkg
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,0.12,0.12,572.8750000000001,6.678878624205218,PubChem_only,PubChem,False,True,1,0.12,0.12,0.12,0.12,38009,3,41,"C,N,O",pubchem_only_ld50_below_0.5_mgkg
CC(C)[C@@H]1NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC1=O,0.39,0.39,1111.3379999999997,6.454781557414085,PubChem_only,PubChem,False,True,1,0.39,0.39,0.39,0.39,39853,1,78,"C,N,O",pubchem_only_ld50_below_0.5_mgkg
CCCCCC[C@@H](O)[C@@H]1C2=C(C[C@H]([C@H](O)[C@@H]3CC=CC(=O)O3)CC3=C(C(=O)OC3=O)[C@@H]1O)C(=O)OC2=O,0.27,0.27,518.5150000000003,6.283397560351995,PubChem_only,PubChem,False,True,1,0.27,0.27,0.27,0.27,40364,1,37,"C,O",pubchem_only_ld50_below_0.5_mgkg
CC[C@@H](C)C(=O)O[C@H]1[C@H](O)[C@H]2[C@@H](CN3C[C@@H](C)CC[C@H]3[C@@]2(C)O)[C@@H]2C[C@]34O[C@]5(O)[C@@H](OC(=O)[C@@](C)(O)CC)CC[C@@]3(C)[C@@H]5[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]4[C@@]21O,0.2,0.2,793.9480000000001,6.598762063371938,PubChem_only,PubChem,False,True,1,0.2,0.2,0.2,0.2,36757,1,56,"C,N,O",pubchem_only_ld50_below_0.5_mgkg
CC[C@@H]1NC(=O)[C@@H]2[C@H](Cl)[C@H](Cl)CN2C(=O)[C@H](CO)NC(=O)C[C@H](c2ccccc2)NC(=O)[C@H](CO)NC1=O,0.33,0.33,572.4460000000003,6.2392205851809885,PubChem_only,PubChem,False,True,1,0.33,0.33,0.33,0.33,40524,1,38,"C,Cl,N,O",pubchem_only_ld50_below_0.5_mgkg
CC[C@H](C)[C@@H]1NC(=O)CNC(=O)[C@@H]2Cc3c([nH]c4cc(O)ccc34)[S@](=O)C[C@H](NC(=O)CNC1=O)C(=O)N[C@@H](CC(=O)O)C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H]([C@@H](C)[C@@H](O)CO)C(=O)N2,0.4,0.4,919.9680000000001,6.361712729859853,PubChem_only,PubChem,False,True,1,0.4,0.4,0.4,0.4,40540,1,64,"C,N,O,S",pubchem_only_ld50_below_0.5_mgkg
CC[C@H](C)[C@@H]1NC(=O)CNC(=O)[C@@H]2Cc3c([nH]c4cc(O)ccc34)[S@](=O)C[C@H](NC(=O)CNC1=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H]([C@@H](C)[C@@H](O)CO)C(=O)N2,0.1,0.1,918.9839999999999,6.963307950154119,PubChem_only,PubChem,False,True,1,0.1,0.1,0.1,0.1,40289,1,64,"C,N,O,S",pubchem_only_ld50_below_0.5_mgkg
