Canonical SMILES,Toxicity Value,label,_row_id,raw_smiles,raw_ld50_value,source_norm,ld50_mgkg,is_limit_value,ld50_parse_note,remove_reason,valid,parent_smiles,reason,n_fragments,element_set,heavy_atoms,molecular_weight
C1=CC(=C(C=C1C(=O)O)O)O,>800,2,35303,C1=CC(=C(C=C1C(=O)O)O)O,>800,PubChem,800.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
C(C(C(=O)O)N)C(=O)O,>6000,2,35340,C(C(C(=O)O)N)C(=O)O,>6000,PubChem,6000.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
C1=C(NC(=O)N=C1)N,>2222,2,35344,C1=C(NC(=O)N=C1)N,>2222,PubChem,2222.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,>1000,2,35411,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,>1000,PubChem,1000.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
C1=CC(=C(C=C1O)O)C(=O)O,>800,2,35421,C1=CC(=C(C=C1O)O)C(=O)O,>800,PubChem,800.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,>1600,2,35475,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,>1600,PubChem,1600.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,>500,2,35497,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,>500,PubChem,500.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,>2000,2,35501,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,>2000,PubChem,2000.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,>2000,2,35544,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,>2000,PubChem,2000.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,>8000,2,35604,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,>8000,PubChem,8000.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,>500,2,35640,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,>500,PubChem,500.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,>1500,2,35641,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,>1500,PubChem,1500.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)(C3=CC=CC=C3F)N4C=CN=C4,>2000,2,35656,C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)(C3=CC=CC=C3F)N4C=CN=C4,>2000,PubChem,2000.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,>3000,2,35662,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,>3000,PubChem,3000.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
C1COC2(N1CC(=O)NC3=C2C=C(C=C3)Br)C4=CC=CC=C4F,>15000,2,35675,C1COC2(N1CC(=O)NC3=C2C=C(C=C3)Br)C4=CC=CC=C4F,>15000,PubChem,15000.0,True,ok,limit_value_with_greater_less_symbols,,,,,,,
