Canonical SMILES,Toxicity Value,ld50_mgkg,molecular_weight,y,source_type,source_set,has_toxric,has_pubchem,n_raw_records,ld50_min_mgkg_raw,ld50_max_mgkg_raw,ld50_mean_mgkg_raw,ld50_median_mgkg_raw,raw_row_ids,n_fragments_original_max,heavy_atoms,element_set
C#CC(O)(/C=C/Cl)CC,275.0,275.0,144.60099999999997,2.7208386025375177,PubChem_only,PubChem,False,True,1,275.0,275.0,275.0,275.0,39997,1,9,"C,Cl,O"
C#CC1(OC(N)=O)CCCCC1,300.0,300.0,167.20799999999997,2.746135797526513,PubChem_only,PubChem,False,True,1,300.0,300.0,300.0,300.0,35620,1,12,"C,N,O"
C#CCN(C)C(C)Cc1ccccc1,45.0,45.0,187.286,3.6192928004392337,PubChem_only,PubChem,False,True,1,45.0,45.0,45.0,45.0,39014,2,14,"C,N"
C#C[C@@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@H]4[C@@H]3CC[C@]21CC,2990.0,2990.0,312.4530000000001,2.0191135105531886,PubChem_only,PubChem,False,True,1,2990.0,2990.0,2990.0,2990.0,38454,1,23,"C,O"
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,250.0,250.0,296.4100000000001,3.0739528426985427,PubChem_only,PubChem,False,True,1,250.0,250.0,250.0,250.0,36091,1,22,"C,O"
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,730.0,730.0,368.5240000000001,2.70314291627586,PubChem_only,PubChem,False,True,1,730.0,730.0,730.0,730.0,39800,1,28,"C,N"
C(=N/OCc1ccccc1)\c1ccccn1,100.0,100.0,212.252,3.326851791188648,PubChem_only,PubChem,False,True,1,100.0,100.0,100.0,100.0,40298,1,16,"C,N,O"
C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,540.0,540.0,398.55400000000014,2.868093412366388,PubChem_only,PubChem,False,True,1,540.0,540.0,540.0,540.0,39855,1,26,"C,N,O,S"
C/C(=C/C=C/[C@@H](C)C(=O)O)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,3.6,3.6,311.3340000000001,4.936924050708919,PubChem_only,PubChem,False,True,1,3.6,3.6,3.6,3.6,40035,1,22,"C,N,O"
C/C(=C\c1ccccc1)[N+](=O)[O-],154.0,154.0,163.17599999999996,3.025135562049254,PubChem_only,PubChem,False,True,1,154.0,154.0,154.0,154.0,39810,1,12,"C,N,O"
C/C(=N\O)C(=O)c1ccccc1,250.0,250.0,163.176,2.8147162742136795,PubChem_only,PubChem,False,True,1,250.0,250.0,250.0,250.0,40300,1,12,"C,N,O"
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,100.0,100.0,270.21,3.4317014174634197,PubChem_only,PubChem,False,True,1,100.0,100.0,100.0,100.0,40513,1,19,"C,F,N,O"
