mode,outer_fold,arm,seed,n_train_after,removed,n,R2,RMSE,MAE,median_fold_error,within_2_fold_percent,within_5_fold_percent,within_10_fold_percent,observed_y_std_ddof0,SSE,SST
random,1,no_filter,42,27967,0,6992,0.64375232221484913,0.39929195433791664,0.2654087910995539,1.4956289190898642,69.865560640732255,92.548627002288328,97.110983981693366,0.66898216287840151,1114.7629810745584,3129.1796426722531
random,1,filter_10fold,42,27118,849,6992,0.61364633539193281,0.41582161062825124,0.2690875467423352,1.4807912571892921,70.266018306636155,92.191075514874143,96.867848970251714,0.66898216287840151,1208.9700221633871,3129.1796426722531
random,1,filter_20fold,42,27587,380,6992,0.62200372057178188,0.4112996129979512,0.26736726930233312,1.4823610269899681,70.437643020594962,92.677345537757432,96.925057208237988,0.66898216287840151,1182.8182625926329,3129.1796426722531
random,1,filter_30fold,42,27725,242,6992,0.62825533007961376,0.40788422897763849,0.26740069708355457,1.4958921344940228,70.237414187643026,92.66304347826086,97.010869565217391,0.66898216287840151,1163.2558533867889,3129.1796426722531
random,2,no_filter,42,27967,0,6992,0.66809483725064012,0.38710490134631897,0.26023179217335385,1.4797929065163813,70.06578947368422,93.177917620137293,97.296910755148744,0.67192634027569809,1047.7526308872327,3156.7831672400021
random,2,filter_10fold,42,27121,846,6992,0.6318192687327524,0.40771077977376341,0.2656149180386016,1.478390057298572,70.695080091533185,92.605835240274601,96.724828375286037,0.67192634027569809,1162.2667349665617,3156.7831672400021
random,2,filter_20fold,42,27580,387,6992,0.64772908393741391,0.39880450965173692,0.26258847226589421,1.4843194664125541,70.552059496567509,93.020594965675059,97.196796338672769,0.67192634027569809,1112.0428981345876,3156.7831672400021
random,2,filter_30fold,42,27709,258,6992,0.65393214603904593,0.39527768389285178,0.26094018231017779,1.4831271639838126,70.523455377574379,93.249427917620139,97.125286041189923,0.67192634027569809,1092.4611761068113,3156.7831672400021
random,3,no_filter,42,27967,0,6992,0.64790590383727742,0.38657551093237674,0.26036942785103495,1.4854296359950707,70.409038901601832,92.891876430205954,97.339816933638446,0.65148581942127526,1044.8888545631758,2967.6409401658175
random,3,filter_10fold,42,27147,820,6992,0.61741588678928527,0.40296602663786246,0.26389045094365565,1.4756417645726434,70.780892448512589,92.777459954233407,96.810640732265455,0.65148581942127526,1135.372277421151,2967.6409401658175
random,3,filter_20fold,42,27585,382,6992,0.61627705510707464,0.40356533207387024,0.26401654046826095,1.4716315649736302,70.780892448512589,92.591533180778029,96.867848970251714,0.65148581942127526,1138.7519209452371,2967.6409401658175
random,3,filter_30fold,42,27720,247,6992,0.62723987192532882,0.39775870518196477,0.26238143484856163,1.4746740669841065,70.652173913043484,92.791762013729979,96.982265446224261,0.65148581942127526,1106.2182169358477,2967.6409401658175
random,4,no_filter,42,27967,0,6992,0.6632849365062613,0.39072129136871248,0.26376158034851266,1.4930725137553416,69.407894736842096,92.534324942791756,97.268306636155614,0.67334215532850339,1067.4205876816095,3170.1004897319017
random,4,filter_10fold,42,27141,826,6992,0.62823912935556825,0.41055149987816719,0.26777768483562486,1.4820776458761,69.937070938215101,92.462814645308924,96.696224256292908,0.67334215532850339,1178.5193180930714,3170.1004897319017
random,4,filter_20fold,42,27568,399,6992,0.63640246417147983,0.40601891885812952,0.26636719240610163,1.4874348414392411,69.751144164759722,92.634439359267745,96.882151029748286,0.67334215532850339,1152.6407263953047,3170.1004897319017
random,4,filter_30fold,42,27700,267,6992,0.64428544986278702,0.40159344900409027,0.26431776587903127,1.485873884616191,70.280320366132713,92.76315789473685,97.110983981693366,0.67334215532850339,1127.6508695947421,3170.1004897319017
random,5,no_filter,42,27968,0,6991,0.63933368821869108,0.39996520134414043,0.26920112548359759,1.50138474663037,69.231869546559864,92.476040623658989,96.910313259905593,0.66599262225997402,1118.3653865432352,3100.8312947768723
random,5,filter_10fold,42,27136,832,6991,0.61912537398903178,0.41101761850762564,0.27049086287821178,1.4917942289746586,69.918466599914169,92.247174939207554,96.681447575454158,0.66599262225997402,1181.0279597212475,3100.8312947768723
random,5,filter_20fold,42,27585,383,6991,0.63114974080502706,0.40447759003539724,0.26855901520634107,1.4910517027331187,70.004291231583466,92.533257044771858,96.867400944070951,0.66599262225997402,1143.7424267983326,3100.8312947768723
random,5,filter_30fold,42,27725,243,6991,0.64208721367187738,0.39843549868140804,0.26716510105977148,1.4919535764747156,69.560863967958809,92.604777571162927,97.010441996853089,0.66599262225997402,1109.8271686470307,3100.8312947768723
