outer_fold,arm,comparison,delta_R2,delta_RMSE,delta_MAE,delta_within_2_fold_percent
1,filter_10fold,"arm minus no_filter, same held-out compounds",-0.03010598682291632,0.016529656290334593,0.0036787556427813062,0.40045766590390031
1,filter_20fold,"arm minus no_filter, same held-out compounds",-0.021748601643067245,0.012007658660034559,0.0019584782027792236,0.5720823798627066
1,filter_30fold,"arm minus no_filter, same held-out compounds",-0.015496992135235366,0.0085922746397218419,0.0019919059840006748,0.37185354691077066
2,filter_10fold,"arm minus no_filter, same held-out compounds",-0.036275568517887713,0.020605878427444435,0.0053831258652477509,0.62929061784896589
2,filter_20fold,"arm minus no_filter, same held-out compounds",-0.020365753313226209,0.011699608305417941,0.0023566800925403641,0.48627002288328924
2,filter_30fold,"arm minus no_filter, same held-out compounds",-0.014162691211594192,0.0081727825465328086,0.00070839013682394425,0.4576659038901596
3,filter_10fold,"arm minus no_filter, same held-out compounds",-0.030490017047992146,0.01639051570548572,0.0035210230926207009,0.37185354691075645
3,filter_20fold,"arm minus no_filter, same held-out compounds",-0.031628848730202774,0.0169898211414935,0.0036471126172260004,0.37185354691075645
3,filter_30fold,"arm minus no_filter, same held-out compounds",-0.020666031911948601,0.011183194249588024,0.002012006997526683,0.24313501144165173
4,filter_10fold,"arm minus no_filter, same held-out compounds",-0.035045807150693054,0.019830208509454716,0.0040161044871122042,0.52917620137300503
4,filter_20fold,"arm minus no_filter, same held-out compounds",-0.026882472334781471,0.015297627489417043,0.0026056120575889685,0.3432494279176268
4,filter_30fold,"arm minus no_filter, same held-out compounds",-0.018999486643474284,0.010872157635377799,0.00055618553051861586,0.87242562929061762
5,filter_10fold,"arm minus no_filter, same held-out compounds",-0.020208314229659297,0.011052417163485206,0.0012897373946141877,0.68659705335430488
5,filter_20fold,"arm minus no_filter, same held-out compounds",-0.0081839474136640167,0.0045123886912568079,-0.00064211027725652459,0.77242168502360187
5,filter_30fold,"arm minus no_filter, same held-out compounds",0.0027535254531863007,-0.0015297026627323906,-0.0020360244238261105,0.32899442139894575
