arm,threshold_fold,fold,model_seed,n_train,best_iteration_count,actual_device,n,R2,RMSE,MAE,median_fold_error,mean_fold_error,within_2_fold_percent,within_5_fold_percent,within_10_fold_percent,SSE,SST
no_filter,,1,43,27967,6983,cuda:0,6992,0.6438321977505377,0.3992471885068875,0.26567207964809303,1.4976057747628388,4.4048804721516035,69.8512585812357,92.691647597254,97.1824942791762,1114.513036174334,3129.179642672253
no_filter,,2,44,27967,6836,cuda:0,6992,0.6696905252736749,0.38617324535560793,0.2587386028014678,1.4819826655101802,3.106535946285752,70.48054919908466,93.27803203661327,97.36842105263158,1042.71538979595,3156.783167240001
no_filter,,3,45,27967,6956,cuda:0,6992,0.6495237092591939,0.38568636791254973,0.25998793842610085,1.4843294512974972,3.0287322040518156,70.62356979405034,92.89187643020595,97.15389016018307,1040.0877889598742,2967.6409401658175
no_filter,,4,46,27967,7000,cuda:0,6992,0.6645546485318248,0.3899839140626504,0.2632382959139578,1.4961497462820645,3.870072819232173,69.42219679633868,92.79176201372998,97.38272311212815,1063.395472967552,3170.100489731901
no_filter,,5,47,27968,6966,cuda:0,6991,0.6423457457179867,0.3982915712262528,0.2676401140898435,1.5048762868798025,3.5055270370694123,69.63238449434988,92.46173651838077,96.95322557574025,1109.0255043877517,3100.831294776872
filter_5fold,5.0,1,43,25960,6954,cuda:0,6490,0.7737580946642586,0.277260374990101,0.20504113465124787,1.412298100253592,1.8116643817704008,75.46995377503852,97.96610169491525,99.70724191063174,498.9078178523377,2205.1963234307195
filter_5fold,5.0,2,44,25960,6939,cuda:0,6490,0.7673176147352465,0.2754828437828037,0.20271634765886704,1.4107856037322208,1.8083363430042974,76.54853620955316,98.08936825885979,99.59938366718028,492.53127394910746,2116.7535883246583
filter_5fold,5.0,3,45,25960,6488,cuda:0,6490,0.7788982136704286,0.27722329453524114,0.206331501794924,1.432811920901666,1.8323562231145454,76.05546995377503,97.91987673343606,99.72265023112482,498.7743801639951,2255.8586633059967
filter_5fold,5.0,4,46,25960,7000,cuda:0,6490,0.7741059261110506,0.27731181503403496,0.2040967681980955,1.414531369577441,1.8292370441079946,75.9322033898305,97.90446841294299,99.64560862865947,499.09295949598567,2209.4114772631974
filter_5fold,5.0,5,47,25960,6982,cuda:0,6490,0.7825702581096823,0.2745699112262093,0.20384965528576346,1.427715014046068,1.855094661555588,76.5331278890601,98.50539291217257,99.768875192604,489.2722486184872,2250.2544700867106
filter_10fold,10.0,1,43,27186,6841,cuda:0,6797,0.7235518555908733,0.32365004611508424,0.233350162861652,1.4591856691952816,2.0758869749674917,71.82580550242754,94.92423127850522,99.16139473297044,711.981347924963,2575.4607593649575
filter_10fold,10.0,2,44,27186,6951,cuda:0,6797,0.7378000368673725,0.3130668021286894,0.22727070610369982,1.4558899164339207,2.0702170673886333,72.89980873914963,95.9246726496984,99.29380609092246,666.1795611787858,2540.73094908032
filter_10fold,10.0,3,45,27186,6994,cuda:0,6797,0.7269061293794807,0.31473988410550613,0.2283792061367984,1.460617264411836,2.081952451435887,72.79682212740916,95.83639841106371,99.24966897160512,673.3189400139422,2465.5219777874845
filter_10fold,10.0,4,46,27187,6953,cuda:0,6796,0.7380346513154059,0.3219883882218938,0.23165187787290545,1.4549747045116113,2.0957547657328526,72.68981753972925,95.01177163037082,99.19070041200706,704.5856445295856,2689.6139053028173
filter_10fold,10.0,5,47,27187,6994,cuda:0,6796,0.7347411619042558,0.32202652997864534,0.23413278742438443,1.4766886753086452,2.1009543996260285,71.82165979988228,95.42377869334902,99.20541494997057,704.7525805245537,2656.84862975301
filter_20fold,20.0,1,43,27608,6947,cuda:0,6903,0.7005292333620319,0.3435502809060446,0.2451720478723057,1.4714559312857534,2.197556168675005,70.99811676082862,94.04606692742286,98.30508474576271,814.7389694098247,2720.595998589629
filter_20fold,20.0,2,44,27609,6828,cuda:0,6902,0.7082032273251766,0.34284578233690877,0.2459565757701574,1.484740849156184,2.1828416388923757,70.41437264560997,94.13213561286584,98.42074760938858,811.2833766777609,2780.3027745678673
filter_20fold,20.0,3,45,27609,6910,cuda:0,6902,0.7073061846675694,0.34492957482252684,0.24435253806260374,1.4764050204602845,2.248234932537518,71.05186902347145,93.87134164010432,98.29035062300782,821.1751927751935,2805.5775344707363
filter_20fold,20.0,4,46,27609,6288,cuda:0,6902,0.7193092538850954,0.337986865699361,0.2397531520131326,1.4708326054745187,2.167548196397684,72.34135033323675,94.21906693711968,98.37728194726166,788.4508078011879,2808.9661619212216
filter_20fold,20.0,5,47,27609,7000,cuda:0,6902,0.712442724989048,0.33896339117814095,0.24171489754705153,1.4726866565964791,2.264207175577216,71.5879455230368,94.59576934221965,98.58012170385395,793.0134382181171,2757.758217690421
filter_30fold,30.0,1,43,27735,6711,cuda:0,6934,0.7126970755125068,0.3505047278834976,0.24849187425326635,1.48771310669858,2.2589883841988745,70.79607730025958,93.75540813383328,97.99538505912892,851.8666146390599,2965.046792192132
filter_30fold,30.0,2,44,27735,6994,cuda:0,6934,0.6939106266686335,0.34870171915021436,0.24654402491291452,1.4772709440467666,2.274363738202439,70.82492068070377,93.7265647533891,98.22613210268244,843.1250918982762,2754.5062499949154
filter_30fold,30.0,3,45,27735,6877,cuda:0,6934,0.6955561353897057,0.35127176370744956,0.24777049180907745,1.4784782747976606,2.2704624376175926,70.7816556100375,93.7265647533891,98.09633689068359,855.5991016164386,2810.3673651352938
filter_30fold,30.0,4,46,27735,6654,cuda:0,6934,0.6995320966313854,0.3529342017234818,0.24928651341890187,1.4832631840284183,2.2788669235768304,71.05566772425729,93.62561292183443,97.89443322757427,863.7167268740907,2874.572349295097
filter_30fold,30.0,5,47,27736,6974,cuda:0,6933,0.6876529303649455,0.3601872704429542,0.252453799112292,1.4916452277178913,2.481233987785205,70.17164286744556,93.3650656281552,97.95182460695226,899.4518522481478,2879.6551646828793
