feature,feature_type,mean_abs_shap,mean_shap,spearman_feature_value_vs_shap,interpretation_for_y
RDKit2D_PEOE_VSA1,RDKit2D,0.04949548,0.021775436,0.3794468642404155,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_SMR_VSA6,RDKit2D,0.042611778,-0.01023004,0.7767970151805851,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_Chi2n,RDKit2D,0.041509565,0.027753985,0.7590799868132363,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_BCUT2D_MRLOW,RDKit2D,0.0372365,0.0010935282,-0.00035897995052106333,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_MolLogP,RDKit2D,0.034720637,-0.018574433,0.7637553523769947,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_NumAtomStereoCenters,RDKit2D,0.03312249,0.02796153,0.7539181673745321,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_Chi3n,RDKit2D,0.03255003,0.02118339,0.7980011113829818,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_Chi4n,RDKit2D,0.028939132,0.014856977,0.7012378064679744,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_BCUT2D_LOGPHI,RDKit2D,0.028304502,0.017328674,0.5914155977063171,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_NumAliphaticRings,RDKit2D,0.028077379,0.020177491,0.7111218278569101,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_EState_VSA8,RDKit2D,0.021360269,-0.005292967,0.8416050130544998,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_fr_bicyclic,RDKit2D,0.018774934,0.008160865,0.5774740183767507,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_NumAliphaticHeterocycles,RDKit2D,0.01614008,0.0089251455,0.626636271455805,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_SlogP_VSA2,RDKit2D,0.016132116,-0.0021641147,0.694606799743798,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_fr_alkyl_halide,RDKit2D,0.015317555,-0.00028031712,0.40180755336710994,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_SMR_VSA5,RDKit2D,0.015245171,0.006923679,0.6336053392317047,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_VSA_EState9,RDKit2D,0.01388579,0.0014165762,0.6657977222493777,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_fr_C_O,RDKit2D,0.012077631,-0.002337858,-0.7662964257869757,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_FractionCSP3,RDKit2D,0.011557662,0.0029418867,-0.1253404577367472,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_MaxPartialCharge,RDKit2D,0.010872822,0.0019228213,-0.3772179709828044,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_MinPartialCharge,RDKit2D,0.010246716,-0.002812013,0.6641602194066645,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_881,ECFP4_count,0.0101272045,-0.0033867906,0.4857926929373323,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_SMR_VSA1,RDKit2D,0.010049873,-0.0041792435,-0.6622573666572303,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
ECFP4_count_bit_1323,ECFP4_count,0.0098071685,-0.002061996,-0.425480716582384,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_SMR_VSA3,RDKit2D,0.009709225,-0.0052420422,0.7356248109222071,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_AvgIpc,RDKit2D,0.009399681,0.0005955974,0.5372358690119643,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_BCUT2D_CHGHI,RDKit2D,0.009315663,0.0043058046,0.04779566516986123,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_SlogP_VSA5,RDKit2D,0.009026746,4.579022e-05,0.041231306416023676,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_HallKierAlpha,RDKit2D,0.008864977,0.0030977163,0.4676860670885747,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_BertzCT,RDKit2D,0.008806206,-0.00231297,-0.07622605448156251,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_BCUT2D_MRHI,RDKit2D,0.008729837,-0.0021123858,0.37567498275071165,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_BCUT2D_MWLOW,RDKit2D,0.008610473,0.0026696727,-0.6054532174519487,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_VSA_EState4,RDKit2D,0.008456967,0.0022272044,0.20576746188572673,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_MinAbsPartialCharge,RDKit2D,0.008275547,0.0003310425,-0.6157478214972973,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_VSA_EState7,RDKit2D,0.008269036,0.0021304726,0.51673952445758,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_BCUT2D_LOGPLOW,RDKit2D,0.008259338,0.00038069644,-0.14465633226436694,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_NumAmideBonds,RDKit2D,0.008070397,0.0014107355,-0.6730645467264372,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_VSA_EState2,RDKit2D,0.008019416,-0.0020924602,-0.2555781293853364,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_Chi3v,RDKit2D,0.0078042466,-0.0013045595,0.6696303611076767,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_SMR_VSA7,RDKit2D,0.007729617,-0.001662505,0.6804754918655349,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_Phi,RDKit2D,0.007620058,-0.00069945166,0.7595068437953065,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_qed,RDKit2D,0.0076043312,0.002280318,-0.6472478422026844,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_PEOE_VSA7,RDKit2D,0.0073552346,-0.00061423844,0.7242128215134485,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_BalabanJ,RDKit2D,0.0072725057,0.0017776338,0.41917381435938234,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_BCUT2D_MWHI,RDKit2D,0.00710354,-0.00044968823,0.058160962992275966,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_PEOE_VSA9,RDKit2D,0.0069074277,-0.0010169193,-0.22355174872784883,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_VSA_EState8,RDKit2D,0.00689776,-0.00062803505,0.49936033208743424,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_BCUT2D_CHGLO,RDKit2D,0.0068670847,-0.00077246263,0.7009417680486635,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_SMR_VSA10,RDKit2D,0.0067156297,-0.0002354465,0.31342170523243107,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_NumRotatableBonds,RDKit2D,0.0064588957,-0.00053932646,0.5043709313490461,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_FpDensityMorgan1,RDKit2D,0.006316951,-0.00060133217,-0.045822771686013716,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_HeavyAtomMolWt,RDKit2D,0.006313333,-0.0032493554,0.4065029253989304,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
