row_id,sample_id,Canonical SMILES,source_type,outer_fold,group_id
0,5271b2e8bd881291d196,BC(=O)O,TOXRIC_only,2,5271b2e8bd881291d196
1,91893286cd26d646f830,BrC(Br)Br,mixed,4,91893286cd26d646f830
2,00b72690ee1660e562f7,BrC(Br)C(Br)Br,mixed,4,00b72690ee1660e562f7
3,5499aaed7a5bef3b980b,BrC12CC3CC(C1)C1(NCCS1)C(C3)C2,TOXRIC_only,2,5499aaed7a5bef3b980b
4,9ad808a273c83e53ca56,BrCC(Br)Oc1cccc2cccnc12,TOXRIC_only,1,9ad808a273c83e53ca56
5,45e2a4ddd62d292a6deb,BrCC1CCCC(CBr)N1,TOXRIC_only,3,45e2a4ddd62d292a6deb
6,20d2c784289094be1623,BrCC1CN=C(NCCNC2=NCC(CBr)S2)S1,TOXRIC_only,1,20d2c784289094be1623
7,f8b2063875a184d0745c,BrCC1CO1,mixed,1,f8b2063875a184d0745c
8,f99971b6b4d6616d3ee1,BrCC1CSC(c2ccccc2)S1,TOXRIC_only,2,f99971b6b4d6616d3ee1
9,91b957e46da539f587a4,BrCCBr,mixed,5,91b957e46da539f587a4
10,9d2ad1e4f9837544c35e,BrCCCBr,mixed,4,9d2ad1e4f9837544c35e
11,ecaf8d31dcd887842598,BrCCCCBr,mixed,4,ecaf8d31dcd887842598
12,a0f4846c1c8a90d8d460,BrCCCCCCBr,mixed,4,a0f4846c1c8a90d8d460
13,68c21ebc0ed705a323b4,BrCCN(CCBr)c1ccccc1,TOXRIC_only,1,68c21ebc0ed705a323b4
14,38f16c28177a75737d56,BrCCN(CCOc1ccccc1)CCOc1ccccc1,TOXRIC_only,3,38f16c28177a75737d56
15,4dfa1eb012de7986ff06,BrCCN(Cc1ccccc1)C1c2ccccc2-c2ccccc21,TOXRIC_only,4,4dfa1eb012de7986ff06
16,99d96685e65fe91b4dba,BrCCN(Cc1ccccc1)c1cccs1,TOXRIC_only,5,99d96685e65fe91b4dba
17,990a750c8f8a869e3864,BrCCNCCI,TOXRIC_only,1,990a750c8f8a869e3864
18,7cb5f43bf635a00b6e6a,BrCCNc1ccccc1,mixed,4,7cb5f43bf635a00b6e6a
19,12a31eb573f51637ca3a,BrCCSCCSCCBr,TOXRIC_only,3,12a31eb573f51637ca3a
20,962e447dc84d2c10166b,BrN=C1C=CC(=NBr)C=C1,TOXRIC_only,3,962e447dc84d2c10166b
21,639349889f6c893c1c84,Brc1ccc(-c2nnn(CCN3CCCCC3)n2)cc1,TOXRIC_only,4,639349889f6c893c1c84
22,88e486b9bf2710599ec9,Brc1ccc(Br)cc1,mixed,3,88e486b9bf2710599ec9
23,2d7c704f656bb2461926,Brc1ccc(C(OCCNN2CCCC2)c2ccccc2)cc1,TOXRIC_only,1,2d7c704f656bb2461926
24,16a143f7f7ddd9bb5645,Brc1ccc(C23OCC(C4CCCCC4)(CO2)CO3)cc1,TOXRIC_only,5,16a143f7f7ddd9bb5645
25,89d84b1a2b75ea9ad8b4,Brc1ccc(C2=NCCS2)cc1,TOXRIC_only,5,89d84b1a2b75ea9ad8b4
26,1acc052f4e88c2347490,Brc1ccc(C2CNC2)cc1,TOXRIC_only,3,1acc052f4e88c2347490
27,fd63d9a9e35c6a4a4652,Brc1ccc(C2NCCS2)cc1,TOXRIC_only,3,fd63d9a9e35c6a4a4652
28,db70e24d98cba3f3d6ef,Brc1ccc(C2SCCS2)cc1,TOXRIC_only,4,db70e24d98cba3f3d6ef
29,84b0eedbb8ad10fb18cd,Brc1ccc(CC=CCN2CCCCC2)cc1,TOXRIC_only,2,84b0eedbb8ad10fb18cd
30,3c727386d8aea1f3cfe8,Brc1ccc(NC2C3CC4CC(C3)CC2C4)cc1,mixed,2,3c727386d8aea1f3cfe8
31,4071467aacbfd9f97133,Brc1ccc(NCCc2nn[nH]n2)cc1,TOXRIC_only,3,4071467aacbfd9f97133
32,f165728a6bfbb924c79e,Brc1ccc(OCCCCCCCCCCN2CCSC2)nc1,TOXRIC_only,4,f165728a6bfbb924c79e
33,3d4c346c82b6378367a7,Brc1ccc(OCCCCCCCCCCNCCSSCCNCCCCCCCCCCOc2ccc(Br)cn2)nc1,TOXRIC_only,1,3d4c346c82b6378367a7
34,650b69535abb1ab8d8fd,Brc1ccc(OCCCCCCCCN2CCSC2)nc1,TOXRIC_only,1,650b69535abb1ab8d8fd
35,f8029c533e2eb11dec0b,Brc1ccc(OCCCCCCCN2CCSC2)nc1,TOXRIC_only,2,f8029c533e2eb11dec0b
36,26c60bbd8c87b8389c59,Brc1ccc(OCCCCCCN2CCSC2)nc1,TOXRIC_only,4,26c60bbd8c87b8389c59
37,2b45568786a48d33ac93,Brc1ccc(OCCCCCCNCCSSCCNCCCCCCOc2ccc(Br)cn2)nc1,TOXRIC_only,4,2b45568786a48d33ac93
38,35541ae7d8771af02b24,Brc1ccc(OCCCCCN2CCSC2)nc1,TOXRIC_only,3,35541ae7d8771af02b24
39,90c2da93839d974c49da,Brc1ccc(OCCCCCNCCSSCCNCCCCCOc2ccc(Br)cn2)nc1,TOXRIC_only,4,90c2da93839d974c49da
40,e74c965497ca11702232,Brc1ccc(OCCCCN2CCSC2)nc1,TOXRIC_only,5,e74c965497ca11702232
41,3aac187c549707429f62,Brc1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,TOXRIC_only,2,3aac187c549707429f62
42,6b06683df76b35e5eea7,Brc1ccc(OCCCN2CCSC2)nc1,TOXRIC_only,3,6b06683df76b35e5eea7
43,3365f4f85c05781e818e,Brc1ccc(OCCCNCCSSCCNCCCOc2ccc(Br)cn2)nc1,TOXRIC_only,2,3365f4f85c05781e818e
44,f7edce4be5a6e2f10e21,Brc1ccc(OCCN2CCSC2)nc1,TOXRIC_only,2,f7edce4be5a6e2f10e21
45,fcf08cb12dbadb910258,Brc1ccc(OCCNCCSSCCNCCOc2ccc(Br)cn2)nc1,TOXRIC_only,4,fcf08cb12dbadb910258
46,d67577c4383d117f15ac,Brc1ccc(Oc2ccc(Br)cc2)cc1,mixed,1,d67577c4383d117f15ac
47,5af32d01a1487da4ebbe,Brc1ccc(SCCCCCCCCCCN2CCSC2)nc1,TOXRIC_only,3,5af32d01a1487da4ebbe
48,950b41af8409cd65ff87,Brc1ccc(SCCCCCCCN2CCSC2)nc1,TOXRIC_only,4,950b41af8409cd65ff87
49,b27fe13bfb45fade8390,Brc1ccc(SCCCCCCN2CCSC2)nc1,TOXRIC_only,2,b27fe13bfb45fade8390
50,7cc129cc81279f3f31b3,Brc1ccc(SCCCCCN2CCSC2)nc1,TOXRIC_only,3,7cc129cc81279f3f31b3
51,165e423612410696cc65,Brc1ccc(SCCCCN2CCSC2)nc1,TOXRIC_only,4,165e423612410696cc65
52,e3835eb1d88761881cde,Brc1ccc([Si]23OCCN(CCO2)CCO3)cc1,TOXRIC_only,2,e3835eb1d88761881cde
53,fa78a66cd01505f6f992,Brc1ccc2[nH]cc(C3CCCN3Cc3ccccc3)c2c1,TOXRIC_only,5,fa78a66cd01505f6f992
54,6046e28a7ac60e8628aa,Brc1ccc2c(c1)OCCOCCOCCOCCO2,mixed,2,6046e28a7ac60e8628aa
55,07a13c94b0170da5d8e4,Brc1ccc2oc(-c3ncc[nH]3)cc2c1,TOXRIC_only,5,07a13c94b0170da5d8e4
56,69ad04bd450a0b560612,Brc1cccc(Br)c1,mixed,4,69ad04bd450a0b560612
57,e974b7c58a4b92519286,Brc1cccc(C2=NCCS2)c1,TOXRIC_only,2,e974b7c58a4b92519286
58,c86f77ae87be65882cce,Brc1cccc(C2NCCCS2)c1,TOXRIC_only,4,c86f77ae87be65882cce
59,8ebf70b3aaa07b6a1215,Brc1cccc(C2NCCS2)c1,mixed,2,8ebf70b3aaa07b6a1215
60,1462c3e0e499d4986ba9,Brc1cccc(C2SCCS2)c1,TOXRIC_only,5,1462c3e0e499d4986ba9
61,0c51e28d52069487ccb2,Brc1cccc(OCCCCCN2CCSC2)n1,TOXRIC_only,1,0c51e28d52069487ccb2
62,cd24524ac3487aa1ebd3,Brc1cccc2ccccc12,mixed,3,cd24524ac3487aa1ebd3
63,5c5074e3a86469e935e8,Brc1ccccc1,mixed,3,5c5074e3a86469e935e8
64,df870b88634b5414ac9d,Brc1ccccc1-c1nnc2c3ccccc3c(N3CCCC3)nn12,TOXRIC_only,3,df870b88634b5414ac9d
65,731ec247cd7cfd081356,Brc1ccccc1Br,mixed,4,731ec247cd7cfd081356
66,d9e4be0688429f56a634,Brc1ccccc1CC=CCN1CCCCC1,TOXRIC_only,5,d9e4be0688429f56a634
67,161d2b0a0c98a7e16699,Brc1ccccc1N1CCN(CCc2ccncc2)CC1,TOXRIC_only,5,161d2b0a0c98a7e16699
68,d3a3819e8376b6af1604,Brc1cccnc1OCCCCCN1CCSC1,TOXRIC_only,3,d3a3819e8376b6af1604
69,60d618d86169dc6374d2,Brc1cccnc1OCCCCCNCCSSCCNCCCCCOc1ncccc1Br,TOXRIC_only,2,60d618d86169dc6374d2
70,b3e45af5044e0dac0ca3,Brc1cn[nH]c1,mixed,1,b3e45af5044e0dac0ca3
71,b92d3c5a131e4ee9d71e,Brc1cnc(OCCCCCCN2CCSC2)c(Br)c1,TOXRIC_only,4,b92d3c5a131e4ee9d71e
72,deb6b42b076e419821c0,Brc1cnc(OCCCCCN2CCSC2)c(Br)c1,TOXRIC_only,3,deb6b42b076e419821c0
73,94eaf235e871b07c3c9c,Brc1cnc(OCCCCCNCCSSCCNCCCCCOc2ncc(Br)cc2Br)c(Br)c1,TOXRIC_only,4,94eaf235e871b07c3c9c
74,c442dd6c9b358eb1a627,Brc1cnc(SCCCCCN2CCSC2)c(Br)c1,TOXRIC_only,4,c442dd6c9b358eb1a627
75,b09086ca7f8f1d8a2b77,C#CC#CC=C=CC1OC1C1OC1C(O)C1CCC(=O)O1,TOXRIC_only,1,b09086ca7f8f1d8a2b77
76,48216ed6e951480becb7,C#CC#CC=C=CCC(=O)C(O)C=CC1CCC(=O)O1,TOXRIC_only,4,48216ed6e951480becb7
77,41deee68f478ff8f7d4a,C#CC(=O)O,mixed,5,41deee68f478ff8f7d4a
78,6850d0d859984305c561,C#CC(C)(C)NC(=O)C=Cc1cc(OC)c(OC)c(OC)c1,TOXRIC_only,4,6850d0d859984305c561
79,5b89d0740c9403d0014f,C#CC(C)(C)NC(=O)OCC(C)(CCC)COC(N)=O,TOXRIC_only,3,5b89d0740c9403d0014f
80,f10186b7616c079ab70e,C#CC(C)(C)NC(C)(C)C,TOXRIC_only,4,f10186b7616c079ab70e
81,bc037a8a54a6076fa9c6,C#CC(C)(C)NCC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1,TOXRIC_only,4,bc037a8a54a6076fa9c6
82,a97dd091544529d5c1b3,C#CC(C)(C)NCC(O)COc1cccc2sncc12,TOXRIC_only,5,a97dd091544529d5c1b3
83,f516e989dfec9114ef22,C#CC(C)(CC)OC(N)=O,TOXRIC_only,1,f516e989dfec9114ef22
