arm,development_row_id,evaluation_fold
no_filter,0,2
no_filter,1,4
no_filter,2,4
no_filter,3,2
no_filter,4,1
no_filter,5,3
no_filter,6,1
no_filter,7,1
no_filter,8,2
no_filter,9,5
no_filter,10,4
no_filter,11,4
no_filter,12,4
no_filter,13,1
no_filter,14,3
no_filter,15,4
no_filter,16,5
no_filter,17,1
no_filter,18,4
no_filter,19,3
no_filter,20,3
no_filter,21,4
no_filter,22,3
no_filter,23,1
no_filter,24,5
no_filter,25,5
no_filter,26,3
no_filter,27,3
no_filter,28,4
no_filter,29,2
no_filter,30,2
no_filter,31,3
no_filter,32,4
no_filter,33,1
no_filter,34,1
no_filter,35,2
no_filter,36,4
no_filter,37,4
no_filter,38,3
no_filter,39,4
no_filter,40,5
no_filter,41,2
no_filter,42,3
no_filter,43,2
no_filter,44,2
no_filter,45,4
no_filter,46,1
no_filter,47,3
no_filter,48,4
no_filter,49,2
no_filter,50,3
no_filter,51,4
no_filter,52,2
no_filter,53,5
no_filter,54,2
no_filter,55,5
no_filter,56,4
no_filter,57,2
no_filter,58,4
no_filter,59,2
no_filter,60,5
no_filter,61,1
no_filter,62,3
no_filter,63,3
no_filter,64,3
no_filter,65,4
no_filter,66,5
no_filter,67,5
no_filter,68,3
no_filter,69,2
no_filter,70,1
no_filter,71,4
no_filter,72,3
no_filter,73,4
no_filter,74,4
no_filter,75,1
no_filter,76,4
no_filter,77,5
no_filter,78,4
no_filter,79,3
no_filter,80,4
no_filter,81,4
no_filter,82,5
no_filter,83,1
no_filter,84,3
no_filter,85,2
no_filter,86,5
no_filter,87,3
no_filter,88,2
no_filter,89,2
no_filter,90,3
no_filter,91,2
no_filter,92,1
no_filter,93,4
no_filter,94,3
no_filter,95,3
no_filter,96,1
no_filter,97,5
no_filter,98,1
no_filter,99,1
no_filter,100,2
no_filter,101,2
no_filter,102,2
no_filter,103,2
no_filter,104,4
no_filter,105,5
no_filter,106,3
no_filter,107,4
no_filter,108,4
no_filter,109,2
no_filter,110,3
no_filter,111,3
no_filter,112,5
no_filter,113,3
no_filter,114,3
no_filter,115,2
no_filter,116,3
no_filter,117,5
no_filter,118,4
no_filter,119,1
no_filter,120,4
no_filter,121,2
no_filter,122,4
no_filter,123,2
no_filter,124,2
no_filter,125,5
no_filter,126,5
no_filter,127,1
no_filter,128,1
no_filter,129,3
no_filter,130,1
no_filter,131,3
no_filter,132,4
no_filter,133,2
no_filter,134,2
no_filter,135,2
no_filter,136,5
no_filter,137,2
no_filter,138,5
no_filter,139,1
no_filter,140,3
no_filter,141,5
no_filter,142,3
no_filter,143,4
no_filter,144,2
no_filter,145,5
no_filter,146,2
no_filter,147,2
no_filter,148,4
no_filter,149,3
no_filter,150,1
no_filter,151,4
no_filter,152,5
no_filter,153,4
no_filter,154,4
no_filter,155,5
no_filter,156,4
no_filter,157,3
no_filter,158,4
no_filter,159,5
no_filter,160,3
no_filter,161,5
no_filter,162,5
no_filter,163,5
no_filter,164,3
no_filter,165,5
no_filter,166,5
no_filter,167,2
no_filter,168,2
no_filter,169,3
no_filter,170,2
no_filter,171,3
no_filter,172,4
no_filter,173,1
no_filter,174,5
no_filter,175,2
no_filter,176,1
no_filter,177,3
no_filter,178,5
no_filter,179,4
no_filter,180,2
no_filter,181,2
no_filter,182,2
no_filter,183,3
no_filter,184,3
no_filter,185,2
no_filter,186,5
no_filter,187,5
no_filter,188,2
no_filter,189,5
no_filter,190,5
no_filter,191,5
no_filter,192,5
no_filter,193,5
no_filter,194,2
no_filter,195,5
no_filter,196,1
no_filter,197,5
no_filter,198,5
no_filter,199,2
no_filter,200,1
no_filter,201,5
no_filter,202,2
no_filter,203,5
no_filter,204,5
no_filter,205,3
no_filter,206,5
no_filter,207,5
no_filter,208,2
no_filter,209,4
no_filter,210,1
no_filter,211,4
no_filter,212,4
no_filter,213,2
no_filter,214,1
no_filter,215,5
no_filter,216,1
no_filter,217,1
no_filter,218,2
no_filter,219,2
no_filter,220,5
no_filter,221,2
no_filter,222,1
no_filter,223,4
no_filter,224,2
no_filter,225,3
no_filter,226,5
no_filter,227,2
no_filter,228,4
no_filter,229,4
no_filter,230,2
no_filter,231,2
no_filter,232,4
no_filter,233,4
no_filter,234,5
no_filter,235,5
no_filter,236,3
no_filter,237,4
no_filter,238,5
no_filter,239,2
no_filter,240,4
no_filter,241,1
no_filter,242,3
no_filter,243,1
no_filter,244,5
no_filter,245,2
no_filter,246,4
no_filter,247,2
no_filter,248,1
no_filter,249,5
no_filter,250,1
no_filter,251,1
no_filter,252,1
no_filter,253,4
no_filter,254,2
no_filter,255,4
no_filter,256,4
no_filter,257,2
no_filter,258,5
no_filter,259,2
no_filter,260,4
no_filter,261,1
no_filter,262,5
no_filter,263,1
no_filter,264,2
no_filter,265,2
no_filter,266,1
no_filter,267,1
no_filter,268,1
no_filter,269,5
no_filter,270,4
no_filter,271,4
no_filter,272,5
no_filter,273,1
no_filter,274,1
no_filter,275,3
no_filter,276,5
no_filter,277,5
no_filter,278,1
no_filter,279,1
no_filter,280,2
no_filter,281,5
no_filter,282,5
no_filter,283,2
no_filter,284,2
no_filter,285,3
no_filter,286,3
no_filter,287,5
no_filter,288,2
no_filter,289,3
no_filter,290,1
no_filter,291,2
no_filter,292,2
no_filter,293,3
no_filter,294,4
no_filter,295,3
no_filter,296,4
no_filter,297,5
no_filter,298,5
no_filter,299,2
no_filter,300,3
no_filter,301,5
no_filter,302,5
no_filter,303,4
no_filter,304,1
no_filter,305,5
no_filter,306,4
no_filter,307,5
no_filter,308,2
no_filter,309,4
no_filter,310,5
no_filter,311,2
no_filter,312,1
no_filter,313,2
no_filter,314,5
no_filter,315,2
no_filter,316,2
no_filter,317,4
no_filter,318,3
no_filter,319,4
no_filter,320,5
no_filter,321,2
no_filter,322,2
no_filter,323,1
no_filter,324,4
no_filter,325,2
no_filter,326,2
no_filter,327,2
no_filter,328,4
no_filter,329,4
no_filter,330,1
no_filter,331,4
no_filter,332,3
no_filter,333,2
no_filter,334,2
no_filter,335,2
no_filter,336,5
no_filter,337,3
no_filter,338,5
no_filter,339,3
no_filter,340,5
no_filter,341,1
no_filter,342,5
no_filter,343,2
no_filter,344,1
no_filter,345,1
no_filter,346,2
no_filter,347,4
no_filter,348,1
no_filter,349,2
no_filter,350,4
no_filter,351,1
no_filter,352,4
no_filter,353,2
no_filter,354,4
no_filter,355,4
no_filter,356,2
no_filter,357,2
no_filter,358,5
no_filter,359,1
no_filter,360,3
no_filter,361,2
no_filter,362,3
no_filter,363,4
no_filter,364,5
no_filter,365,5
no_filter,366,3
no_filter,367,2
no_filter,368,4
no_filter,369,1
no_filter,370,4
